Race,Place,Team,Time,Lane
34,4,Northeastern University CSSA,02:19.996,1
35,1,Blackheart Dragon Boat Racing,02:10.639,1
35,2,Living Root Purple,02:11.157,2
35,3,Wuhan and Huazhong University(s) Alumni,02:14.092,4
35,4,Dragonheart VT - Fire,02:14.216,3
36,1,Tsinghua University Alumni - Boston Shuiqing,02:10.164,2
36,2,Dragonheart VT - Fifty Force,02:11.593,3
36,3,Tsinghua University Alumni - Boston Muhua,02:18.496,1
36,4,Boston University CPE Professionals,02:19.751,4
37,1,Boston One Dragon Boat Team,01:59.013,3
37,2,CYPN Storm Instinct,02:01.075,2
37,3,Trapology Boston,02:03.477,1
37,4,Metro Athletic Dragons,02:05.868,4
38,1,Living Root Blue,02:03.388,2
38,2,Dragonheart VT - Dragonflyers,02:07.976,3
38,3,Jiao Tong University Alumni - MicroPort,02:10.850,4
38,4,Harvard Engine 9,02:12.280,1
39,1,Wolfpack Racing Club,02:03.745,2
39,2,CYPN Storm Valor,02:06.314,1
39,3,ONE Racing,02:07.623,3
39,4,CYPN Storm Mystic,02:12.974,4
40,1,Wellness Warriors Fire,02:43.121,3
40,2,Springfield Dragon Rays,02:53.129,2
40,3,Wellington Management Four Seas - Team 2,05:00.000,1
41,1,Wellness Warriors Thunder,02:43.016,4
41,2,Chinese American BioMedical Association,02:43.499,1
41,3,Bank of America Red Tide,02:55.457,2
41,4,Boston Scientific,05:00.000,3
42,1,Johnson & Johnson Ducklings - Team 2,02:28.627,2
42,2,Dragon Divas,02:32.976,4
42,3,The Boat for Kids Who don't Paddle Good,02:42.146,3
42,4,CSOFT International,02:43.330,1
43,1,JP Morgan & Chase,02:32.862,3
43,2,Zhejiang University Alumni,02:34.665,1
43,3,Eastern Bank - Fierce Dragons,02:35.031,4
43,4,Wellington Management Four Seas - Team 1,02:45.909,2
44,1,Cambridge Aha Dragons,02:30.338,1
44,2,Deloitte Dragons,02:32.955,2
44,3,Bank of America Tempest,02:47.189,4
44,4,Loomis Sayles,02:47.992,3
45,1,Johnson & Johnson Ducklings - Team 1,02:29.395,4
45,2,University of Science & Technology Alumni,02:30.860,2
45,3,ONE - BCNC,02:32.885,1
45,4,University AA - Nanjing Blue Whale,02:35.472,3
46,1,PricewaterhouseCoopers Dragon Boat Team,02:18.153,3
46,2,HBP DragonMentor,02:22.921,4
46,3,Salesforce Asiapacforce DragonKoa,02:24.025,2
46,4,Eastern Bank - Dragons for Good,02:26.645,1
47,1,State Street Golden Sun,02:26.802,3
47,2,Harvard University CSSA,02:32.033,4
47,3,Tianda Nankai United University Alumni,02:35.240,1
47,4,NOVA,02:38.905,2
48,1,Wayfair - The Zillions,02:20.219,4
48,2,Citizens Bank Dragon,02:26.484,3
48,3,Paradise City Dragons,02:29.630,1
48,4,Harvard Medical School CSSA,02:34.746,2
49,1,Golden Dragons,02:21.475,2
49,2,North America Sports Union,02:21.678,3
49,3,Perkins and Will,02:24.325,1
49,4,Transamerica,02:25.553,4
50,1,South Cove Stat Dragons,02:21.765,3
50,2,AACA Blazin' Paddles,02:24.328,4
50,3,Peking University Alumni - Team Boya,02:24.451,2
50,4,State Street Golden Dragon,02:29.779,1
51,1,Arizona Dragon Riders,02:17.916,3
51,2,Northeastern University CSA,02:18.683,4
51,3,Harvard Hawks,02:20.287,2
51,4,Dragonheart VT - Green Mountain Girls,02:20.892,1
52,1,HPHC Dragonauts,02:12.289,2
52,2,NEXT ONE,02:13.414,3
52,3,KPMG Blue Dragons,02:17.601,1
52,4,Peking University Alumni - Team Weiming,02:18.173,4
53,1,Tsinghua University Alumni - Boston Muhua,02:18.503,2
53,2,Northeastern University CSSA,02:21.875,4
53,3,Boston Kwong Kow,02:23.382,3
53,4,Boston University CPE Professionals,02:28.829,1
54,1,Dragonheart VT - Fire,02:09.059,4
54,2,Dragonheart VT - Fifty Force,02:11.060,2
54,3,Wuhan and Huazhong University(s) Alumni,02:13.173,1
54,4,BTBC - Titans,02:14.738,3
55,1,Tsinghua University Alumni - Boston Shuiqing,02:06.367,3
55,2,Living Root Purple,02:06.572,4
55,3,Blackheart Dragon Boat Racing,02:08.038,1
55,4,Fudan & Tongji University(s) Alumni,02:09.275,2
56,1,Jiao Tong University Alumni - MicroPort,02:09.166,3
56,2,Harvard Engine 9,02:09.482,1
56,3,CYPN Storm Mystic,02:16.882,4
56,4,Dragonheart VT - Dragonflyers,00:00.000,2
57,1,Wolfpack Racing Club,02:07.969,2
57,2,CYPN Storm Valor,02:08.922,1
57,3,ONE Racing,02:10.681,4
57,4,Metro Athletic Dragons,02:11.997,3
58,1,CYPN Storm Instinct,01:59.191,3
58,2,Boston One Dragon Boat Team,02:00.010,2
58,3,Living Root Blue,02:00.565,1
58,4,Trapology Boston,02:03.313,4
